#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50 999  8.7  9.9  1.64  6.25  4.95  27 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 00 50 999  8.5  9.8  1.64  6.25  4.88  24 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 01 50 999  8.4  9.8  1.59  6.25  4.83  31 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 02 50 999  8.7 10.6  1.64  6.25  5.03  34 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 03 50 999  9.0 10.2  1.68  6.25  5.10  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 04 50 999  7.7  9.0  1.77  7.69  5.22   4 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 05 50 999  7.5  8.7  1.80  7.69  5.43   3 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 06 50 999  7.8  8.9  1.72  7.69  5.38   5 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 07 50 999  7.9  9.5  1.75  7.69  5.48   5 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 08 50 999 11.0 12.9  1.84  7.69  5.53  10 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 09 50 999 12.0 14.2  2.07  7.69  5.68   4 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 10 50 999 13.0 15.5  2.51  7.14  5.81  11 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 11 50 999 12.3 15.1  2.64  7.69  6.15  14 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 12 50 999 12.1 15.3  2.83  7.69  6.22  12 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 13 50 999 12.8 15.0  2.84  7.69  6.18  16 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 14 50 999 12.1 14.4  3.12  7.69  6.51  20 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 15 50 999 12.3 14.9  3.27  8.33  6.39  19 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 16 50 999 12.1 14.5  3.37  8.33  6.55  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 17 50 999 11.5 13.6  3.34  8.33  6.44  17 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 18 50 999 12.3 14.4  3.15  7.69  6.33  20 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 19 50 999 12.1 15.8  2.90  8.33  6.06  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 20 50 999 13.4 16.4  3.23  7.69  6.30  22 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 21 50 999 13.3 16.1  3.03  7.69  5.98  26 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 22 50 999 12.7 15.5  2.95  7.69  6.13  26 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 01 23 50 999 13.9 16.1  2.98  7.69  5.99  16 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 00 50 999 13.1 16.1  3.52  8.33  6.41  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 01 50 999 12.5 14.8  3.24  7.69  6.24  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 02 50 999 12.6 14.2  3.06  8.33  6.25  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 03 50 999 11.7 14.1  3.20  8.33  6.21  26 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 04 50 999 13.5 16.4  2.82  8.33  5.90  13 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 05 50 999 13.4 16.4  3.36  8.33  6.39  18 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 06 50 999 12.7 15.4  3.14  8.33  6.33  23 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 07 50 999 12.3 14.3  3.70  8.33  6.82  27 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 08 50 999 11.8 14.2  3.39  8.33  6.70  27 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 09 50 999 11.6 13.9  3.53  8.33  6.86  30 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 10 50 999 10.9 13.4  3.23  9.09  6.61  38 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 11 50 999 10.9 13.0  3.55  9.09  7.14  41 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 12 50 999 11.3 14.5  3.38  9.09  6.96  27 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 13 50 999 11.0 13.9  3.24  9.09  6.76  49 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 14 50 999 11.2 14.4  3.24  9.09  6.70  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 15 50 999 12.1 14.5  3.03  7.69  6.60  21 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 16 50 999 11.1 13.9  3.22  9.09  6.82  47 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 17 50 999 11.3 13.6  3.05  9.09  6.55  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 18 50 999 11.5 13.6  3.13  7.69  6.57  23 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 19 50 999 11.2 13.5  3.35  7.69  6.61  29 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 20 50 999 11.8 14.1  3.28  8.33  6.42  42 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 21 50 999 12.6 15.1  3.06  9.09  6.26  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 22 50 999 12.9 15.2  3.07  9.09  6.33  51 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 02 23 50 999 13.1 15.7  3.07  7.69  6.21  28 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 00 50 999 12.0 14.3  3.17  7.69  6.20  32 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 01 50 999 11.6 13.6  3.02  8.33  6.02  41 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 02 50 999 11.2 13.3  3.00  9.09  6.21  52 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 03 50 999 12.0 14.3  2.98  8.33  6.29  45 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 04 50 999 11.9 14.1  2.75  9.09  5.97  54 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 05 50 999 10.6 12.7  2.83  8.33  6.15  55 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 06 50 999  9.5 11.7  2.92  9.09  6.24  59 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 07 50 999  9.9 11.8  2.83  9.09  6.25  56 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 08 50 999  9.2 11.1  2.53  7.69  5.99  46 9999.0 999.0 999.0 999.0 99.0 99.00
2016 01 03 09 50 999  8.7 10.6  2.48  9.09  6.04  60 9999.0 999.0 999.0 999.0 99.0 99.00
