date,WSPD,GST,ATMP,OT
2019-07-03 23:50,8,9.8,29.4,29.4
2019-07-04 00:50,7.8,9.9,29.3,29.3
2019-07-04 01:50,8.4,9.6,29.3,29.3
2019-07-04 02:50,7.7,9.2,29.2,29.3
2019-07-04 03:50,7.5,9.1,29.3,29.2
2019-07-04 04:50,6.7,8,29.2,29.2
2019-07-04 05:50,7.1,8.2,29.1,29.2
2019-07-04 06:50,6.7,7.7,29,29.2
2019-07-04 07:50,5.8,6.8,28.8,29.2
2019-07-04 08:50,6.3,7.2,28.7,29.3
2019-07-04 09:50,6.9,8.3,28.7,29.3
2019-07-04 10:50,7,8.3,28.6,29.3
2019-07-04 11:50,7.1,8,28.7,29.2
2019-07-04 12:50,7.6,8.9,28.8,29.1
2019-07-04 13:50,8,8.9,28.9,29
2019-07-04 14:50,7.7,8.8,28.9,29
2019-07-04 15:50,6.8,8,29,29.1
2019-07-04 16:50,7.7,8.6,29.1,29.2
2019-07-04 17:50,7.5,8.7,29.1,29.2
2019-07-04 18:50,7,8.1,29.2,29.2
2019-07-04 19:50,7.2,8.8,29.2,29.3
2019-07-04 20:50,6.9,8,29.3,29.3
2019-07-04 21:50,6.5,7.8,29.3,29.4
2019-07-04 22:50,7.2,8.5,29.3,29.4
2019-07-04 23:50,6.4,7.5,29.2,29.3
2019-07-05 00:50,5.3,6.6,29.1,29.3
2019-07-05 01:50,5.9,6.9,28.9,29.2
2019-07-05 02:50,5.4,6.6,28.9,29.2
2019-07-05 03:50,6.5,7.7,28.8,29.1
2019-07-05 04:50,5.9,6.7,28.9,29.2
2019-07-05 05:50,6.1,7.4,28.9,29.3
2019-07-05 06:50,6.8,8.4,28.9,29.3
2019-07-05 07:50,5.7,6.7,28.9,29.3
2019-07-05 08:50,5.2,6,28.9,29.3
2019-07-05 09:50,4.6,5.8,28.8,29.3
2019-07-05 10:50,5.4,6.1,28.8,29.3
2019-07-05 11:50,5,6,28.7,29.3
2019-07-05 12:50,3.9,5.1,29,29.3
2019-07-05 13:50,4.9,5.8,29,29.3
2019-07-05 15:50,3.8,4.7,29,29.3
2019-07-05 16:50,4,4.7,29,29.5
2019-07-05 17:50,3.3,3.9,29.1,29.7
2019-07-05 18:50,3.7,4.3,29.2,29.8
2019-07-05 19:50,4.5,5.1,29.4,29.9
2019-07-05 20:50,5,6,29.5,29.9
2019-07-05 21:50,5.6,7.2,29.5,29.8
2019-07-05 22:50,6.3,7.4,29.6,29.7
2019-07-05 23:50,6.5,7.8,29.5,29.6
2019-07-06 00:50,6.5,7.8,29.4,29.5
2019-07-06 01:50,6.7,7.8,29.3,29.4
2019-07-06 02:50,7.4,8.8,29.3,29.4
2019-07-06 03:50,7.1,8.4,29.2,29.4
2019-07-06 04:50,7.3,8.4,29.2,29.4
2019-07-06 05:50,7.3,8.5,29.2,29.4
2019-07-06 06:50,6.4,7.5,29.2,29.5
2019-07-06 07:50,6.6,7.5,29.3,29.4
2019-07-06 08:50,4.9,5.8,29.2,29.4
2019-07-06 09:50,5.3,6.1,29.1,29.5
2019-07-06 10:50,4.8,5.5,29.1,29.4
2019-07-06 11:50,4.9,5.9,29.1,29.4
2019-07-06 12:50,4.3,5,29.4,29.4
2019-07-06 13:50,4.4,5.2,29.3,29.3
2019-07-06 14:50,3.8,4.5,29.4,29.4
2019-07-06 15:50,4.4,5.2,29.4,29.5
2019-07-06 16:50,4.8,5.5,29.3,29.7
2019-07-06 17:50,4.5,5.3,29.3,29.8
2019-07-06 18:50,4,4.7,29.4,29.9
2019-07-06 19:50,3.9,4.6,29.4,30.1
2019-07-06 20:50,3.9,4.5,29.5,30
2019-07-06 21:50,3.8,4.7,29.6,30.1
2019-07-06 22:50,4.3,5.5,29.7,30
2019-07-06 23:50,4.2,5.2,29.8,30.1
2019-07-07 00:50,5.3,6.7,29.5,29.9
2019-07-07 01:50,5.9,6.7,29.3,29.7
2019-07-07 02:50,4.8,5.7,29.2,29.6
2019-07-07 03:50,4.3,4.9,29.2,29.6
2019-07-07 04:50,4,4.9,29.4,29.6
2019-07-07 05:50,4.5,5.1,29.4,29.6
2019-07-07 06:50,3.3,4,29.3,29.5
2019-07-07 07:50,2.9,3.5,29.2,29.5
2019-07-07 08:50,3.4,4.2,29.1,29.6
2019-07-07 09:50,2.8,3.5,29,29.6
2019-07-07 10:50,3.3,3.8,29,29.5
2019-07-07 11:50,3.5,4,29,29.6
2019-07-07 12:50,3.7,4.3,29.3,29.6
2019-07-07 13:50,2.4,3,29.5,29.6
2019-07-07 14:50,2.6,3.7,29.3,29.7
2019-07-07 15:50,2.5,3.1,29.3,29.9
2019-07-07 16:50,1.2,1.7,29.5,30.2
2019-07-07 17:50,1.6,2.3,29.4,30.7
2019-07-07 18:50,0.7,1.2,29.5,31.4
2019-07-07 19:50,1.8,2.8,29.6,32.1
2019-07-07 20:50,2,2.6,29.9,31.9
2019-07-07 21:50,4.1,4.9,29.6,31.7
2019-07-07 22:50,2.5,3.1,29.6,31.2
2019-07-07 23:50,2.7,3.5,29.5,30.9
2019-07-08 00:50,2.9,3.8,29.5,30.7
2019-07-08 01:50,2.9,3.5,29.4,30.5
2019-07-08 02:50,3.4,4.4,29.4,30.4
2019-07-08 03:50,4.5,5.7,29.4,30.1
2019-07-08 04:50,4.1,4.9,29.5,29.9
2019-07-08 05:50,4.2,5.2,29.4,29.9
2019-07-08 06:50,4,4.7,29.3,30.1
2019-07-08 07:50,3.4,4.5,29.3,29.9
2019-07-08 08:50,3.7,4.8,29.2,29.8
2019-07-08 09:50,4,4.7,29.1,29.7
2019-07-08 10:50,3.3,4.2,28.9,29.6
2019-07-08 11:50,3.2,4.1,29,29.6
2019-07-08 12:50,2.5,3.2,29.4,29.6
2019-07-08 13:50,3.8,4.8,29.4,29.8
2019-07-08 14:50,2.1,2.6,29.4,29.9
2019-07-08 15:50,2.1,2.9,29.3,30.1
2019-07-08 16:50,3.2,4.5,29.3,30.2
2019-07-08 17:50,3,3.6,29.3,30.4
2019-07-08 18:50,1.9,2.6,29.3,30.7
2019-07-08 19:50,2.4,3,29.5,31
2019-07-08 20:50,1.7,2.4,29.7,31.2
2019-07-08 21:50,2.8,3.6,29.6,31.1
2019-07-08 22:50,2.6,3.3,29.6,31
2019-07-08 23:50,2.7,3.4,29.6,30.7
2019-07-09 00:50,2.6,3.2,29.6,30.4
2019-07-09 01:50,2.1,3.2,29.4,30.3
2019-07-09 02:50,1.6,2.1,29.5,30.2
2019-07-09 03:50,2,2.8,29.4,30.1
2019-07-09 04:50,4.4,5.6,29.4,30.1
2019-07-09 05:50,5.1,6.2,29.3,30.1
2019-07-09 06:50,4.4,5.2,29.3,30
2019-07-09 07:50,4.6,5.5,29.2,29.9
2019-07-09 08:50,5.2,6.2,29.1,29.9
2019-07-09 09:50,5,5.9,29.1,29.8
2019-07-09 10:50,4.9,6.2,29.2,29.8
2019-07-09 11:50,4.4,5.2,29,29.8
2019-07-09 12:50,5.1,6.2,29.4,29.8
2019-07-09 13:50,5.1,6,29.3,29.8
2019-07-09 14:50,4.7,5.9,29.4,29.8
2019-07-09 15:50,3.1,3.6,29.4,29.9
2019-07-09 16:50,1.9,2.5,29.5,30.2
2019-07-09 17:50,2,2.7,29.5,30.5
2019-07-09 18:50,0.8,1.2,29.7,31.1
2019-07-09 19:50,0.6,1.4,29.6,31.5
2019-07-09 20:50,1.9,2.5,29.8,31.9
2019-07-09 21:50,1.4,2.2,29.8,31.9
2019-07-09 22:50,1.2,2.4,30,31.7
2019-07-09 23:50,2.1,2.9,29.9,31.5
2019-07-10 00:50,2.2,2.9,29.9,31.3
2019-07-10 01:50,2.4,3.2,29.7,31.1
2019-07-10 02:50,2.9,3.6,29.7,30.9
2019-07-10 03:50,2.8,3.7,29.7,30.8
2019-07-10 04:50,3.4,4.3,29.8,30.8
2019-07-10 05:50,3.9,4.6,29.7,30.5
2019-07-10 06:50,3.6,4.4,29.5,30.4
2019-07-10 07:50,4,4.8,29.4,30.2
2019-07-10 08:50,4.6,5.4,29.3,30.1
2019-07-10 09:50,4.3,5,29.2,30.1
2019-07-10 10:50,3.6,4.8,29.2,30.1
2019-07-10 11:50,2.5,3.3,29.2,30
