date,WSPD,GST,ATMP,OT
2019-09-13 20:50,5.4,6.2,29.8,30.3
2019-09-13 21:50,6.3,7.4,29.9,30.2
2019-09-13 22:50,6,7.1,30,30.2
2019-09-13 23:50,6,7.3,29.7,30.2
2019-09-14 00:50,5.6,7,29.7,30.1
2019-09-14 01:50,5.8,6.8,29.7,30.1
2019-09-14 02:50,6,6.9,29.8,30.1
2019-09-14 03:50,6.7,8.3,29.7,30.1
2019-09-14 04:50,6.8,8.1,29.7,30
2019-09-14 05:50,7.6,9.3,28.7,30
2019-09-14 06:50,6.5,7.6,29.5,30
2019-09-14 07:50,6,6.9,29.5,30
2019-09-14 08:50,4.2,5.3,29.4,30
2019-09-14 09:50,3.8,4.8,29.3,30
2019-09-14 10:50,3.3,4.4,28.3,29.9
2019-09-14 11:50,1.9,2.4,28.8,29.9
2019-09-14 12:50,1.9,2.5,28.9,30
2019-09-14 13:50,5.6,8.1,28.7,30
2019-09-14 14:50,5.2,8.4,28.3,30
2019-09-14 15:50,1.8,2.7,25.8,30
2019-09-14 16:50,1,1.6,28.4,30.2
2019-09-14 17:50,2.1,3.1,28.8,30.7
2019-09-14 18:50,3.8,5.2,29,30.7
2019-09-14 19:50,4.6,5.6,29,30.7
2019-09-14 20:50,4.8,7.2,28.4,30.5
2019-09-14 21:50,7.3,8.7,27.5,30.4
2019-09-14 22:50,7.5,9.7,28.5,30.3
2019-09-14 23:50,7.7,9.9,27.2,30.3
2019-09-15 00:50,5.8,7.1,27.2,30.3
2019-09-15 01:50,10.5,12.7,26.2,30.3
2019-09-15 02:50,10.1,11.8,26.2,30.3
2019-09-15 03:50,9.1,11.6,28,30.3
2019-09-15 04:50,6,11.9,27.3,30.3
2019-09-15 05:50,7.4,9.8,27.9,30.2
2019-09-15 06:50,6.8,8.8,27.9,30.3
2019-09-15 07:50,6.5,7.8,28.2,30.2
2019-09-15 08:50,7.4,9.8,28,30.2
2019-09-15 09:50,5.4,6.8,26.4,30.1
2019-09-15 10:50,2.1,3.1,27,30.1
2019-09-15 11:50,2.4,3.5,27.1,30.1
2019-09-15 12:50,5.5,6.7,27.7,30.1
2019-09-15 13:50,6.8,8.3,28,30.1
2019-09-15 14:50,7,8.5,27.7,30.1
2019-09-15 15:50,7.1,8.8,27.9,30.1
2019-09-15 16:50,7.4,8.9,27.8,30.1
2019-09-15 17:50,6.6,7.9,27.9,30.2
2019-09-15 18:50,6.3,7.8,28.1,30.2
2019-09-15 19:50,6,7.5,28.4,30.2
2019-09-15 20:50,4.2,5.6,28.3,30.2
2019-09-15 21:50,6,7,28.5,30.2
2019-09-15 22:50,9.1,11.2,27.1,30.1
2019-09-15 23:50,8.2,9.6,27.7,30
2019-09-16 00:50,8.2,9.7,26.3,30
2019-09-16 01:50,6.3,7.8,27.9,30
2019-09-16 02:50,5.6,6.9,29.1,30
2019-09-16 03:50,5,7.1,28.4,30.1
